county,age_category,quarter,susceptible,new_infected,current_infected,new_severe,cumulative_severe,flu_incidence,severe_incidence
Lake,65+,Q3,122125,1910,2824,271,6430,1.5639713408393041,0.2219037871033777
Lake,65+,Q4,8857,0,0,0,537,0,0
Lassen,0-17,Q1,46961,101,101,0,0,0.21507208108856288,0
Lassen,0-17,Q2,58066,1474,1502,0,0,2.5384906830158784,0
Lassen,0-17,Q3,39889,710,727,0,0,1.7799393316453158,0
Lassen,0-17,Q4,4115,0,0,0,0,0,0
Lassen,18-49,Q1,120807,293,309,1,7,0.242535614658091,8.277666029286382e-4
Lassen,18-49,Q2,148545,3556,3733,28,183,2.3938873741963715,0.018849506883435996
Lassen,18-49,Q3,110435,1881,2018,19,593,1.7032643636528275,0.017204690541947752
Lassen,18-49,Q4,5091,0,0,0,31,0,0
Lassen,50-64,Q1,48000,104,114,0,0,0.21666666666666665,0
Lassen,50-64,Q2,60266,1456,1679,35,205,2.4159559287160253,0.058075863671058305
Lassen,50-64,Q3,42856,705,884,43,883,1.6450438678364758,0.10033600896023893
Lassen,50-64,Q4,2954,0,0,0,77,0,0
Lassen,65+,Q1,50511,119,139,5,14,0.2355922472332759,0.009898833917364534
Lassen,65+,Q2,62590,1645,2130,109,626,2.628215369867391,0.1741492251158332
Lassen,65+,Q3,41902,678,989,89,2306,1.61806119039664,0.21240036275118132
Lassen,65+,Q4,4676,0,0,0,293,0,0
Madera,0-17,Q1,347682,824,833,0,0,0.23699817649461288,0
Madera,0-17,Q2,460932,11640,11821,6,33,2.5253182682044204,0.001301710447528052
Madera,0-17,Q3,309928,5102,5236,7,154,1.6461887922356162,0.0022585890916599987
Madera,0-17,Q4,23218,0,0,0,14,0,0
Madera,18-49,Q1,615276,1539,1591,4,15,0.25013164823591366,6.50114745252537e-4
Madera,18-49,Q2,770491,17506,18321,100,597,2.27205768788993,0.012978736935278932
Madera,18-49,Q3,582779,11851,12570,102,2434,2.0335324368242507,0.017502346515574516
Madera,18-49,Q4,54202,0,0,0,280,0,0
Madera,50-64,Q1,224395,530,605,13,58,0.23619064595913455,0.0057933554669221685
Madera,50-64,Q2,271952,6566,7588,162,1041,2.414396658233806,0.059569335765135026
Madera,50-64,Q3,201960,3725,4544,161,3994,1.8444246385422853,0.07971875618934443
Madera,50-64,Q4,14579,0,0,0,337,0,0
Madera,65+,Q1,228409,548,678,23,97,0.23992049350069394,0.010069655749116717
Madera,65+,Q2,273415,6480,8284,354,2159,2.370023590512591,0.12947351096318782
Madera,65+,Q3,208067,4032,5732,447,9698,1.9378373312442627,0.21483464460966903
Madera,65+,Q4,14583,0,0,0,824,0,0
Marin,0-17,Q1,407222,1108,1119,0,0,0.27208746089356667,0
Marin,0-17,Q2,496906,12278,12517,9,52,2.470889866493864,0.0018112077535791477
Marin,0-17,Q3,348975,6302,6445,5,162,1.8058600186259761,0.0014327673902141988
Marin,0-17,Q4,36919,0,0,0,20,0,0
Marin,18-49,Q1,768437,1915,1970,3,14,0.24920715686516914,3.9040285670783687e-4
Marin,18-49,Q2,982009,24845,25923,132,758,2.530017545664042,0.013441831999503061
Marin,18-49,Q3,653960,11118,11886,116,2867,1.700103981894917,0.017738087956449933
Marin,18-49,Q4,66236,0,0,0,331,0,0
Marin,50-64,Q1,512640,1333,1498,28,116,0.2600265293383271,0.005461922596754058
Marin,50-64,Q2,623246,15326,17664,378,2339,2.4590611090965684,0.060650208745824274
Marin,50-64,Q3,441381,8167,10008,341,8660,1.850328854209855,0.07725751674856869
Marin,50-64,Q4,47120,0,0,0,1048,0,0
Marin,65+,Q1,603493,1536,1882,73,307,0.25451827941666266,0.01209624635248462
Marin,65+,Q2,745276,18705,23928,1098,6996,2.5098084468036004,0.14732796977227228
Marin,65+,Q3,503727,8669,12626,1108,25402,1.720971875638987,0.21996041506609731
Marin,65+,Q4,54629,0,0,0,3218,0,0
Mariposa,0-17,Q1,23945,70,71,0,0,0.2923366047191481,0
